"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"55679"	""	"(грам) краткий (гласный) напр. а и у; досл. легкий"	""	""	""
"55680"	""	"быстрый; скорый; стремительный; досл. легкий"	""	""	""
"55681"	"легкий; облегченный"	""	""	""	""
"55682"	""	"ничтожный, неважный, незначительный"	""	""	""
"55683"	""	"плавающий; досл. легкий"	""	""	""
"55684"	""	"легче; более легкий"	""	""	""
"55685"	""	"легкий; менее серьезный; менее интенсивный"	""	""	""
"55686"	""	"факт быть легким; легкость"	""	""	""
"55687"	""	"быстро"	""	""	""
"55688"	""	"ветреный; непостоянный; изменчивый; пугливый; досл. легкий ум"	""	""	""
"55689"	"ловкость; проворность; легкость"	""	"быстрый подъем"	""	""
"55690"	""	"более легкий"	""	""	""
"55691"	""	"(абхи) легкость; плавучесть"	""	""	""
"55692"	""	"состояние быстрой мудрости; факт обладания быстрым пониманием"	""	""	""
"55693"	"Саньютта Никая 55.70 (SN55.70)"	""	""	""	""
"55694"	""	"быстро изменяющийся; быстро поворачивающийся; быстро вращающийся"	""	""	""
"55695"	""	"лёгкое верхнее пальто; летнее пальто; досл. лёгкое покрытие"	""	""	""
"55696"	""	"правило о летних пальто"	""	""	""
"55697"	""	"слегка нагруженный; с лёгкой нагрузкой"	""	""	""
"55698"	""	"(грам) (о гласной) быстрое по размеру; короткое"	""	""	""
"55699"	""	"лёгкий; неважный; незначительный"	""	""	""
"55700"	""	"обидчивый; чрезмерно реактивный; досл. легкий"	""	""	""
"55701"	""	"восприятие легкости; осознание плавучести"	""	""	""
"55702"	""	"быстро"	""	""	""
"55703"	"быстро; скоро"	""	""	""	""
"55704"	""	"играет; веселится"	""	""	""
"55705"	""	"играл; веселился; наслаждался"	""	""	""
"55706"	""	"играный; развлекшийся"	""	""	""
"55707"	""	"очарованный, пленённый, досл. игранный"	""	""	""
"55708"	""	"играть"	""	""	""
"55709"	"природный лак; красная краска"	""	""	""	""
"55710"	""	"печать, сургуч"	""	""	""
"55711"	""	"лаковая окраска; лаковый краситель; досл. сок лака"	""	""	""
"55712"	""	"жареное зерно; поджаренная кукуруза"	""	""	""
"55713"	""	"имеющий поджаренное зерно в качестве пятого"	""	""	""
"55714"	"перепелка; куропатка"	""	"болтун"	""	""
"55715"	""	"высказывание; произнесение; вокализация; досл. побуждение говорить"	""	""	""
"55716"	"болтовня; лепет; разговор о пустяках"	""	""	""	""
"55717"	""	"тыква"	""	""	""
"55718"	""	"бутылочная тыква; калебаса"	""	""	""
"55719"	""	"бутылочная тыква; горлянка"	""	""	""
"55720"	""	"внешняя корка тыквы, используемая как сосуд"	""	""	""
"55721"	""	"поле тыквы-фласк"	""	""	""
"55722"	"выгода; прибыль; приобретение; польза"	""	""	""	""
"55723"	""	"плата; деньги; прибыль; досл. выгода"	""	""	""
"55724"	""	"стремление к выгоде"	""	""	""
"55725"	"по причине желания выгоды; из стремления получить прибыль"	""	""	""	""
"55726"	""	"желающий материальной выгоды; досл. жаждущий наживы"	""	""	""
"55727"	"Джатака 287 (JA287)"	""	""	""	""
"55728"	""	"ценящий материальную выгоду; придающий значение прибыли"	""	""	""
"55729"	""	"факт ценности материальной выгоды; факт придания веса прибыли"	""	""	""
"55730"	""	"высшая ступень приобретения; вершина материальной поддержки; наивысшая выгода"	""	""	""
"55731"	""	"достигший вершины материальных приобретений"	""	""	""
"55732"	""	"большая материальная выгода; (комм) самая высокая позиция в материальной выгоде"	""	""	""
"55733"	""	"достигший вершины материальной выгоды и славы"	""	""	""
"55734"	""	"разнообразие приобретений"	""	""	""
"55735"	""	"конец материальной выгоды; прекращение приобретения"	""	""	""
"55736"	""	"тот, кто мешает (кому-то) в получении; досл. препятствователь получения"	""	""	""
